G1,G2,Subject,No,Data1,Data2,Data3,Labels
post1,control,dish1,n0,0.895669937,0.066421308,0.037908856,0
post1,control,dish1,n1,0.725594878,0.140567228,0.133837894,0
post1,control,dish1,n2,0.56060791,0.09955018,0.339841902,0
post1,control,dish1,n3,0.595493615,0.377833039,0.026673313,0
post1,control,dish1,n4,0.212892726,0.052989863,0.734117448,2
post1,control,dish1,n5,0.414808571,0.172846451,0.412344962,0
post1,control,dish1,n6,0.585331738,0.162824273,0.251843929,0
post1,control,dish1,n7,0.782247007,0.066190474,0.151562542,0
post1,control,dish1,n8,0.438400984,0.517982602,0.043616444,1
post1,control,dish1,n9,0.606516719,0.079289734,0.314193517,0
post1,control,dish1,n10,0.625907898,0.215998009,0.158094198,0
post1,control,dish1,n11,0.587832093,0.223440275,0.188727707,0
post1,control,dish6,n0,0.084073074,0.012972685,0.902954221,2
post1,control,dish6,n1,0.079761274,0.009721371,0.910517335,2
post1,control,dish6,n2,0.029159762,0.964165151,0.006675124,1
post1,control,dish6,n3,0.069853008,0.011238724,0.918908298,2
post1,control,dish6,n4,0.628322065,0.288499504,0.083178386,0
post1,control,dish6,n5,0.178880557,0.067871094,0.753248334,2
post1,control,dish6,n6,0.020138172,0.97070539,0.009156474,1
post1,control,dish6,n7,0.033017717,0.015557925,0.951424301,2
post1,control,dish6,n8,0.037956618,0.949565172,0.012478156,1
post1,control,dish6,n9,0.191745192,0.020168688,0.788086176,2
post1,control,dish6,n10,0.747381449,0.062592648,0.190025821,0
post1,control,dish6,n11,0.508122861,0.309129596,0.182747513,0
post1,control,dish8,n0,0.166599035,0.009180842,0.824220121,2
post1,control,dish8,n1,0.406185836,0.587935328,0.005878943,1
post1,control,dish8,n2,0.239177704,0.030621262,0.730201006,2
post1,control,dish8,n3,0.845986366,0.094557449,0.059456192,0
post1,control,dish8,n4,0.66115576,0.041974027,0.296870261,0
post1,control,dish8,n5,0.357570022,0.60997659,0.032453466,1
post1,control,dish8,n6,0.184755057,0.033930819,0.781314075,2
